Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Target
LP132,Male,No,,Graduate,No,495,,125,36,1,Urban,Y
LP1824,Male,Yes,1,Graduate,No,2882,1843,123,48,1,Semiurban,Y
LP2928,Male,Yes,,Graduate,No,3,3416,56,18,1,Semiurban,Y
LP1814,Male,Yes,2,Graduate,No,973,,112,36,1,Urban,Y
LP2244,Male,Yes,,Graduate,No,2333,2417,136,36,1,Urban,Y
LP1854,Male,Yes,3,Graduate,No,525,,94,36,1,Urban,N
LP255,Male,Yes,,Graduate,No,4333,2451,11,36,1,Urban,N
LP2862,Male,Yes,2,Not Graduate,No,6125,1625,187,48,1,Semiurban,N
LP163,Male,No,,Not Graduate,No,2333,1451,12,48,,Urban,N
LP1964,Male,Yes,,Not Graduate,No,18,2934,93,36,,Urban,N
LP198,Male,Yes,,Graduate,No,35,1667,114,36,1,Semiurban,Y
LP2149,Male,Yes,2,Graduate,No,8333,3167,165,36,1,Rural,Y
LP2472,Male,No,2,Graduate,No,4354,,136,36,1,Rural,Y
LP1647,Male,Yes,,Graduate,No,9328,,188,18,1,Rural,Y
LP1871,Female,No,,Graduate,No,72,,12,36,1,Rural,Y
LP1379,Male,Yes,2,Graduate,No,38,36,216,36,,Urban,N
LP2789,Male,Yes,,Graduate,No,3593,4266,132,18,,Rural,N
LP2842,Male,Yes,1,Graduate,No,3417,175,186,36,1,Urban,Y
LP1491,Male,Yes,2,Graduate,Yes,3316,35,88,36,1,Urban,Y
LP231,Male,Yes,1,Not Graduate,No,3399,164,111,18,1,Urban,Y
LP1578,Male,Yes,,Graduate,No,2439,3333,129,36,1,Rural,Y
LP1318,Male,Yes,2,Graduate,No,625,5654,188,18,1,Semiurban,Y
LP1259,Male,Yes,1,Graduate,Yes,1,322,11,36,1,Urban,N
LP284,Female,Yes,,Graduate,No,418,236,182,36,1,Semiurban,Y
